File,Variable,Description
ACQ_D.htm,SEQN,SEQN - Respondent sequence number
ACQ_D.htm,ACQ005,ACQ005 - CHECK ITEM
ACQ_D.htm,ACD010A,ACD010A - English usually spoken at home
ACQ_D.htm,ACD010B,ACD010B - Spanish usually spoken at home
ACQ_D.htm,ACD010C,ACD010C - Other language(s) usually spoken at home
ACQ_D.htm,ACD040,ACD040 - Language(s) usually spoken at home
ALQ_D.htm,SEQN,SEQN - Respondent sequence number
ALQ_D.htm,ALQ101,ALQ101 - Had at least 12 alcohol drinks/1 yr?
ALQ_D.htm,ALQ110,ALQ110 - Had at least 12 alcohol drinks/lifetime?
ALQ_D.htm,ALQ120Q,ALQ120Q - How often drink alcohol over past 12 mos
ALQ_D.htm,ALQ120U,"ALQ120U - # days drink alcohol per wk, mo, yr"
ALQ_D.htm,ALQ130,ALQ130 - Avg # alcoholic drinks/day -past 12 mos
ALQ_D.htm,ALQ140Q,ALQ140Q - #days have 5 or more drinks/past 12 mos
ALQ_D.htm,ALQ140U,"ALQ140U - # days per week, month, year?"
ALQ_D.htm,ALQ150,ALQ150 - Ever have 5 or more drinks every day?
BIOPRO_D.htm,SEQN,SEQN - Respondent sequence number
BIOPRO_D.htm,LBXSAL,LBXSAL - Albumin (g/dL)
BIOPRO_D.htm,LBDSALSI,LBDSALSI - Albumin (g/L)
BIOPRO_D.htm,LBXSATSI,LBXSATSI - Alanine aminotransferase ALT (U/L)
BIOPRO_D.htm,LBXSASSI,LBXSASSI - Aspartate aminotransferase AST (U/L)
BIOPRO_D.htm,LBXSAPSI,LBXSAPSI - Alkaline phosphotase (U/L)
BIOPRO_D.htm,LBXSBU,LBXSBU - Blood urea nitrogen (mg/dL)
BIOPRO_D.htm,LBDSBUSI,LBDSBUSI - Blood urea nitrogen (mmol/L)
BIOPRO_D.htm,LBXSCA,LBXSCA - Total calcium (mg/dL)
BIOPRO_D.htm,LBDSCASI,LBDSCASI - Total calcium (mmol/L)
BIOPRO_D.htm,LBXSCH,LBXSCH - Cholesterol (mg/dL)
BIOPRO_D.htm,LBDSCHSI,LBDSCHSI - Cholesterol (mmol/L)
BIOPRO_D.htm,LBXSC3SI,LBXSC3SI - Bicarbonate (mmol/L)
BIOPRO_D.htm,LBXSCR,LBXSCR - Creatinine (mg/dL)
BIOPRO_D.htm,LBDSCRSI,LBDSCRSI - Creatinine (umol/L)
BIOPRO_D.htm,LBXSGTSI,LBXSGTSI - Gamma glutamyl transferase (U/L)
BIOPRO_D.htm,LBXSGL,"LBXSGL - Glucose, serum (mg/dL)"
BIOPRO_D.htm,LBDSGLSI,"LBDSGLSI - Glucose, serum (mmol/L)"
BIOPRO_D.htm,LBXSIR,"LBXSIR - Iron, refigerated (ug/dL)"
BIOPRO_D.htm,LBDSIRSI,"LBDSIRSI - Iron, refigerated (umol/L)"
BIOPRO_D.htm,LBXSLDSI,LBXSLDSI - Lactate dehydrogenase LDH (U/L)
BIOPRO_D.htm,LBXSPH,LBXSPH - Phosphorus (mg/dL)
BIOPRO_D.htm,LBDSPHSI,LBDSPHSI - Phosphorus (mmol/L)
BIOPRO_D.htm,LBXSTB,LBXSTB - Total bilirubin (mg/dL)
BIOPRO_D.htm,LBDSTBSI,"LBDSTBSI - Bilirubin, total (umol/L)"
BIOPRO_D.htm,LBXSTP,LBXSTP - Total protein (g/dL)
BIOPRO_D.htm,LBDSTPSI,LBDSTPSI - Total protein (g/L)
BIOPRO_D.htm,LBXSTR,LBXSTR - Triglycerides (mg/dL)
BIOPRO_D.htm,LBDSTRSI,LBDSTRSI - Triglycerides (mmol/L)
BIOPRO_D.htm,LBXSUA,LBXSUA - Uric acid (mg/dL)
BIOPRO_D.htm,LBDSUASI,LBDSUASI - Uric acid (umol/L)
BIOPRO_D.htm,LBXSNASI,LBXSNASI - Sodium (mmol/L)
BIOPRO_D.htm,LBXSKSI,LBXSKSI - Potassium (mmol/L)
BIOPRO_D.htm,LBXSCLSI,LBXSCLSI - Chloride (mmol/L)
BIOPRO_D.htm,LBXSOSSI,LBXSOSSI - Osmolality (mmol/Kg)
BIOPRO_D.htm,LBXSGB,LBXSGB - Globulin (g/dL)
BIOPRO_D.htm,LBDSGBSI,LBDSGBSI - Globulin (g/L)
BMX_D.htm,SEQN,SEQN - Respondent sequence number
BMX_D.htm,BMDSTATS,BMDSTATS - Body Measures Component Status Code
BMX_D.htm,BMXWT,BMXWT - Weight (kg)
BMX_D.htm,BMIWT,BMIWT - Weight Comment
BMX_D.htm,BMXRECUM,BMXRECUM - Recumbent Length (cm)
BMX_D.htm,BMIRECUM,BMIRECUM - Recumbent Length Comment
BMX_D.htm,BMXHEAD,BMXHEAD - Head Circumference (cm)
BMX_D.htm,BMIHEAD,BMIHEAD - Head Circumference Comment
BMX_D.htm,BMXHT,BMXHT - Standing Height (cm)
BMX_D.htm,BMIHT,BMIHT - Standing Height Comment
BMX_D.htm,BMXBMI,BMXBMI - Body Mass Index (kg/m**2)
BMX_D.htm,BMXLEG,BMXLEG - Upper Leg Length (cm)
BMX_D.htm,BMILEG,BMILEG - Upper Leg Length Comment
BMX_D.htm,BMXCALF,BMXCALF - Maximal Calf Circumference (cm)
BMX_D.htm,BMICALF,BMICALF - Maximal Calf Comment
BMX_D.htm,BMXARML,BMXARML - Upper Arm Length (cm)
BMX_D.htm,BMIARML,BMIARML - Upper Arm Length Comment
BMX_D.htm,BMXARMC,BMXARMC - Arm Circumference (cm)
BMX_D.htm,BMIARMC,BMIARMC - Arm Circumference Comment
BMX_D.htm,BMXWAIST,BMXWAIST - Waist Circumference (cm)
BMX_D.htm,BMIWAIST,BMIWAIST - Waist Circumference Comment
BMX_D.htm,BMXTHICR,BMXTHICR - Thigh Circumference (cm)
BMX_D.htm,BMITHICR,BMITHICR - Thigh Circumference Comment
BMX_D.htm,BMXTRI,BMXTRI - Triceps Skinfold (mm)
BMX_D.htm,BMITRI,BMITRI - Triceps Skinfold Comment
BMX_D.htm,BMXSUB,BMXSUB - Subscapular Skinfold (mm)
BMX_D.htm,BMISUB,BMISUB - Subscapular Skinfold Comment
BPX_D.htm,SEQN,SEQN - Respondent sequence number
BPX_D.htm,PEASCST1,PEASCST1 - Blood Pressure Status
BPX_D.htm,PEASCTM1,PEASCTM1 - Blood Pressure Time in Seconds
BPX_D.htm,PEASCCT1,PEASCCT1 - Blood Pressure Comment
BPX_D.htm,BPXCHR,BPXCHR - 60 sec HR (30 sec HR * 2)
BPX_D.htm,BPQ150A,BPQ150A - Had food in the past 30 minutes?
BPX_D.htm,BPQ150B,BPQ150B - Had alcohol in the past 30 minutes?
BPX_D.htm,BPQ150C,BPQ150C - Had coffee in the past 30 minutes?
BPX_D.htm,BPQ150D,BPQ150D - Had cigarettes in the past 30 minutes?
BPX_D.htm,BPAARM,BPAARM - Arm selected:
BPX_D.htm,BPACSZ,BPACSZ - Coded cuff size
BPX_D.htm,BPXPLS,BPXPLS - 60 sec. pulse (30 sec. pulse * 2):
BPX_D.htm,BPXDB,BPXDB - # of dropped beats in 30 seconds
BPX_D.htm,BPXPULS,BPXPULS - Pulse regular or irregular?
BPX_D.htm,BPXPTY,BPXPTY - Pulse type:
BPX_D.htm,BPXML1,BPXML1 - MIL: maximum inflation levels (mm Hg)
BPX_D.htm,BPXSY1,BPXSY1 - Systolic:  Blood pres (1st rdg) mm Hg
BPX_D.htm,BPXDI1,BPXDI1 - Diastolic:  Blood pres (1st rdg) mm Hg
BPX_D.htm,BPAEN1,BPAEN1 - Enhancement used first reading
BPX_D.htm,BPXSY2,BPXSY2 - Systolic:  Blood pres (2nd rdg) mm Hg
BPX_D.htm,BPXDI2,BPXDI2 - Diastolic: Blood pres (2nd rdg) mm Hg
BPX_D.htm,BPAEN2,BPAEN2 - Enhancement used second reading
BPX_D.htm,BPXSY3,BPXSY3 - Systolic:  Blood pres (3rd rdg) mm Hg
BPX_D.htm,BPXDI3,BPXDI3 - Diastolic: Blood pres (3rd rdg) mm Hg
BPX_D.htm,BPAEN3,BPAEN3 - Enhancement used third reading
BPX_D.htm,BPXSY4,BPXSY4 - Systolic: Blood pres (4th rdg) mm Hg
BPX_D.htm,BPXDI4,BPXDI4 - Diastolic:  Blood pres (4th rdg) mm Hg
BPX_D.htm,BPAEN4,BPAEN4 - Enhancement used fourth reading
CBC_D.htm,SEQN,SEQN - Respondent sequence number
CBC_D.htm,LBXWBCSI,LBXWBCSI - White blood cell count (1000 cells/uL)
CBC_D.htm,LBXLYPCT,LBXLYPCT - Lymphocyte percent (%)
CBC_D.htm,LBXMOPCT,LBXMOPCT - Monocyte percent (%)
CBC_D.htm,LBXNEPCT,LBXNEPCT - Segmented neutrophils percent (%)
CBC_D.htm,LBXEOPCT,LBXEOPCT - Eosinophils percent (%)
CBC_D.htm,LBXBAPCT,LBXBAPCT - Basophils percent (%)
CBC_D.htm,LBDLYMNO,LBDLYMNO - Lymphocyte number (1000 cells/uL)
CBC_D.htm,LBDMONO,LBDMONO - Monocyte number (1000 cells/uL)
CBC_D.htm,LBDNENO,LBDNENO - Segmented neutrophils num (1000 cell/uL)
CBC_D.htm,LBDEONO,LBDEONO - Eosinophils number (1000 cells/uL)
